"","data","networth","weight"
"517","DINA",127043153.6,53.18813
"518","DINA",126958206.4,54.20114
"519","DINA",126839618.2,53.96655
"520","DINA",126647659,54.32911
"521","DINA",126552917,54.15848
"522","DINA",126412053.2,52.80427
"523","DINA",126205067.6,52.40971
"524","DINA",126040507.4,53.96655
"525","DINA",125802055.2,53.1988
"526","DINA",125556814.6,54.03053
"527","DINA",125411818.4,52.9962
"528","DINA",125282298.8,54.08387
"529","DINA",125099081.4,53.48671
"530","DINA",124953001.8,53.48673
"531","DINA",124791575.8,53.12415
"532","DINA",124578331.2,53.4014
"533","DINA",124414332.4,54.51037
"534","DINA",124225341.4,53.18813
"535","DINA",124125135,53.18813
"536","DINA",123854553,52.56966
"537","DINA",123752840.2,54.74499
"538","DINA",123649882.8,54.48906
"539","DINA",123545087.4,52.6443
"540","DINA",123434685.2,54.62769
"541","DINA",123257625.2,52.37772
"542","DINA",122977739.6,55.2888
"543","DINA",122841194.4,56.12051
"544","DINA",122717433.2,53.42273
"545","DINA",122580216.6,54.74498
"546","DINA",122287051,53.66798
"547","DINA",122025569.8,54.00922
"548","DINA",121942674.8,53.56136
"549","DINA",121891070.8,53.26278
"550","DINA",121745479,53.82793
"551","DINA",121594827.6,52.66562
"552","DINA",121522986.4,54.32911
"553","DINA",121369331.4,52.63364
"554","DINA",121153203,57.15485
"555","DINA",120947515.4,53.12415
"556","DINA",120844723,53.12415
"557","DINA",120639246,53.78529
"558","DINA",120270246.2,53.62534
"559","DINA",120108076.6,53.48671
"560","DINA",119982151.8,54.56371
"561","DINA",119863858,54.52103
"562","DINA",119588022.6,54.14783
"563","DINA",119353710,52.93222
"564","DINA",119244494.2,54.92627
"565","DINA",119088441.6,54.56371
"566","DINA",118984548.2,85.7856
"567","DINA",118912667,53.61467
"568","DINA",118822451.2,54.26513
"569","DINA",118726766,52.77227
"570","DINA",118653769,54.92627
"571","DINA",118528169.6,53.36942
"572","DINA",118261056,54.62769
"573","DINA",118152402.2,53.94524
"574","DINA",117968179.6,53.66799
"575","DINA",117828932.4,53.41206
"576","DINA",117772667.2,52.15379
"577","DINA",117673319.2,54.62769
"578","DINA",117410226.8,53.35875
"579","DINA",117097678.4,53.89192
"580","DINA",116862900.6,53.07085
"581","DINA",116647377.2,53.8066
"582","DINA",116420573.6,55.26747
"583","DINA",116199920.4,53.64666
"584","DINA",116044052.4,53.56136
"585","DINA",115783083.6,53.56136
"586","DINA",115541181.4,52.50568
"587","DINA",115305936.2,53.97722
"588","DINA",115044001.2,54.40376
"589","DINA",114876325.6,54.25448
"590","DINA",114730075.8,54.13719
"591","DINA",114541151,54.74499
"592","DINA",114431419.2,53.06016
"593","DINA",114365877.2,53.92392
"594","DINA",114277593.2,52.93222
"595","DINA",114170446.6,56.12051
"596","DINA",114011666.2,54.09453
"597","DINA",113873981.8,53.49738
"598","DINA",113701851.6,53.26278
"599","DINA",113600690.2,53.42273
"600","DINA",113498601.2,53.72129
"601","DINA",113411617.6,53.89192
"602","DINA",113326293.6,52.80426
"603","DINA",113209416.6,53.35875
"604","DINA",113092456.4,53.56136
"605","DINA",112889329.6,53.78529
"606","DINA",112743708.4,53.71064
"607","DINA",112570158.8,53.73197
"608","DINA",112404984.6,53.24145
"609","DINA",112309896.8,53.80662
"610","DINA",112209366.8,53.29478
"611","DINA",112141715.2,54.24382
"612","DINA",111960819.4,54.08387
"613","DINA",111698341.4,53.65733
"614","DINA",111576951.4,53.96656
"615","DINA",111455820.2,53.42273
"616","DINA",111341413.8,53.49738
"617","DINA",111080948.4,53.18814
"618","DINA",110900078.8,56.60036
"619","DINA",110772423.2,53.76395
"620","DINA",110668952,54.08387
"621","DINA",110507748.4,52.72961
"622","DINA",110347435.8,53.26278
"623","DINA",110228378.6,53.01752
"624","DINA",110149762.6,53.71064
"625","DINA",109984123.4,52.69762
"626","DINA",109837114.2,53.56136
"627","DINA",109713216.2,53.26278
"628","DINA",109572092,53.12415
"629","DINA",109445266.6,53.85994
"630","DINA",109333754.4,54.92627
"631","DINA",109208671.4,53.99857
"632","DINA",109099567.4,54.32911
"633","DINA",108974932,54.38245
"634","DINA",108780607.4,54.0412
"635","DINA",108667625.6,53.48671
"636","DINA",108543890,53.49738
"637","DINA",108414582.8,53.06017
"638","DINA",108274262,53.56136
"639","DINA",108143801.6,53.57203
"640","DINA",108071969.6,52.33506
"641","DINA",107987803,54.08387
"642","DINA",107916058.8,53.47605
"643","DINA",107795376.6,53.26278
"644","DINA",107697527.6,53.62534
"645","DINA",107602810.4,53.63601
"646","DINA",107531753.6,53.06017
"647","DINA",107430040.4,53.13482
"648","DINA",107316030.8,53.668
"649","DINA",107203515.2,73.83214
"650","DINA",107081487.6,53.93458
"651","DINA",106997876.2,53.65733
"652","DINA",106918152.6,53.49736
"653","DINA",106834928.8,53.99857
"654","DINA",106757420.4,53.76395
"655","DINA",106604623.4,52.82559
"656","DINA",106353311.8,54.0412
"657","DINA",106193918.6,52.65498
"658","DINA",106046010.6,53.4334
"659","DINA",105956169.6,53.49738
"660","DINA",105836893.6,52.20711
"661","DINA",105756313,54.10518
"662","DINA",105537257,54.38245
"663","DINA",105373343,54.20115
"664","DINA",105273247.2,54.92627
"665","DINA",105173005.6,53.85994
"666","DINA",105023509.6,54.13717
"667","DINA",104861698.2,54.81963
"668","DINA",104760880.8,54.9156
"669","DINA",104631365.8,53.72131
"670","DINA",104559526.4,52.93222
"671","DINA",104474186.8,53.15615
"672","DINA",104332389.4,54.01987
"673","DINA",104234128.2,53.85994
"674","DINA",104169050,53.72131
"675","DINA",104108921.2,53.58267
"676","DINA",104020422.6,53.85994
"677","DINA",103974403,53.69999
"678","DINA",103868215.8,54.17983
"679","DINA",103706776.2,53.49738
"680","DINA",103534149.6,54.20116
"681","DINA",103409735.6,53.33743
"682","DINA",103201014.8,53.72129
"683","DINA",103046021.6,53.16681
"684","DINA",102965567,53.72131
"685","DINA",102862162,86.87325
"686","DINA",102748574.6,53.72131
"687","DINA",102562795.6,53.40141
"688","DINA",102461576,54.01989
"689","DINA",102348053.4,53.35875
"690","DINA",102240285.6,56.92027
"691","DINA",102129797,55.03287
"692","DINA",102016204.4,54.03054
"693","DINA",101933788.2,53.79596
"694","DINA",101859658.2,54.15852
"695","DINA",101724663.8,53.55068
"696","DINA",101610816,53.2308
"697","DINA",101472080.8,53.85994
"698","DINA",101329981.8,54.70234
"699","DINA",101205125.2,54.08387
"700","DINA",101119226.6,54.0412
"701","DINA",101057151.4,53.72131
"702","DINA",100928178.2,53.76397
"703","DINA",100800164,53.72131
"704","DINA",100705596.2,54.08387
"705","DINA",100587752.6,53.77464
"706","DINA",100442627,53.85994
"707","DINA",100345848,53.33743
"708","DINA",100247252,53.65733
"709","DINA",100188142,53.42273
"710","DINA",100099304.6,54.32911
"711","DINA",100035301.2,53.85994
"712","DINA",99940933.2,53.56136
"713","DINA",99823765,53.93459
"714","DINA",99708473,53.71063
"715","DINA",99615595,53.56136
"716","DINA",99494318.6,53.85994
"717","DINA",99380745.4,53.56136
"718","DINA",99311893.8,53.52937
"719","DINA",99214596,53.72131
"720","DINA",99172301.8,53.94526
"721","DINA",99088059.2,54.54238
"722","DINA",98996177.8,53.636
"723","DINA",98941551.4,53.72131
"724","DINA",98853769.6,54.41442
"725","DINA",98742354.8,53.35875
"726","DINA",98598039.6,54.38242
"727","DINA",98361020,52.99619
"728","DINA",98332717,53.35875
"729","DINA",98248470.2,53.79596
"730","DINA",98164573.2,53.76395
"731","DINA",98116408,54.2225
"732","DINA",98002281.2,54.87294
"733","DINA",97920017.6,54.08387
"734","DINA",97854679.8,53.72131
"735","DINA",97690312.2,54.48906
"736","DINA",97498864.8,53.23078
"737","DINA",97301556.2,52.62298
"738","DINA",97213899.4,54.36111
"739","DINA",97080968.6,54.38245
"740","DINA",96990352.8,53.42273
"741","DINA",96912993.6,53.3161
"742","DINA",96788167.4,54.06255
"743","DINA",96699355,55.75798
"744","DINA",96545824.4,53.63601
"745","DINA",96455428,54.2225
"746","DINA",96389281.4,53.81727
"747","DINA",96296630.8,53.2521
"748","DINA",96203667.6,53.16681
"749","DINA",96150849,53.59334
"750","DINA",96071600.8,53.63601
"751","DINA",95995429.2,54.06255
"752","DINA",95909383.8,53.12417
"753","DINA",95832070.2,54.38245
"754","DINA",95792898.2,53.49738
"755","DINA",95685715.6,54.08387
"756","DINA",95576257.8,52.93222
"757","DINA",95477779.6,53.85994
"758","DINA",95410122.2,54.20117
"759","DINA",95378105.4,54.01989
"760","DINA",95259602,86.69198
"761","DINA",95182391,53.72131
"762","DINA",95107745.4,53.73197
"763","DINA",95047286.4,54.25448
"764","DINA",94962291.4,85.54036
"765","DINA",94851581.6,53.56136
"766","DINA",94702593,54.92625
"767","DINA",94578563.6,53.92392
"768","DINA",94498137.4,53.26278
"769","DINA",94414713.4,53.26278
"770","DINA",94338370.6,54.26513
"771","DINA",94289239.8,53.2308
"772","DINA",94199016.6,85.35907
